label,Session1,Session2,GridSpacingUSD,profit,pf,eqdd,trades,sharpe,elapsed_s
btc_entry_ctrl_sp400,07:00-10:00,12:00-15:00,40.0,-734.86,0.92,1 488.25 (14.85%),3733,-1.87,220.0
btc_entry_ctrl_sp450,07:00-10:00,12:00-15:00,45.0,379.80,1.05,724.27 (7.16%),3500,1.04,260.6
btc_entry_ctrl_sp600,07:00-10:00,12:00-15:00,60.0,580.56,1.09,521.16 (5.21%),2831,1.95,245.6
btc_entry_narrow_sp400,07:00-08:00,12:00-13:00,40.0,543.65,1.13,522.78 (5.06%),1751,2.93,211.2
btc_entry_narrow_sp450,07:00-08:00,12:00-13:00,45.0,397.70,1.11,842.05 (7.83%),1613,2.33,212.4
btc_entry_narrow_sp600,07:00-08:00,12:00-13:00,60.0,430.10,1.15,399.74 (3.89%),1318,2.94,208.3
btc_entry_open30_sp400,07:00-07:30,12:00-12:30,40.0,289.17,1.10,374.59 (3.68%),1266,2.17,212.2
btc_entry_open30_sp450,07:00-07:30,12:00-12:30,45.0,321.79,1.12,588.32 (5.61%),1184,2.61,205.5
btc_entry_open30_sp600,07:00-07:30,12:00-12:30,60.0,170.73,1.08,303.03 (3.01%),972,1.49,209.0
btc_entry_always_sp400,00:00-23:59,00:00-23:59,40.0,-2 598.93,0.94,2 694.04 (26.82%),16254,-1.80,276.4
btc_entry_always_sp450,00:00-23:59,00:00-23:59,45.0,-1 844.02,0.95,3 585.20 (30.94%),15365,-1.54,274.9
btc_entry_always_sp600,00:00-23:59,00:00-23:59,60.0,807.23,1.03,1 015.80 (8.70%),12366,0.74,272.1
