Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,BasketTP_USD,BasketSL_USD
15,487.67,0.366945,1.085573,0.691426,1.127609,6.8388,1329,3,8
1,379.80,0.108514,1.045642,0.524390,1.036372,7.1564,3500,6,2
2,147.59,0.042805,1.017894,0.209502,0.413383,6.9497,3448,9,2
3,69.65,0.020142,1.008449,0.098867,0.195353,6.9769,3458,12,2
4,54.65,0.015804,1.006629,0.077575,0.153164,6.9873,3458,15,2
16,-412.63,-0.319620,0.931081,-0.405912,-0.974227,9.8665,1291,6,8
20,-522.97,-0.447748,0.912171,-0.432911,-1.201377,11.8296,1168,3,10
0,-548.45,-0.148110,0.940768,-0.486650,-1.599557,11.2403,3703,3,2
5,-688.01,-0.328877,0.911081,-0.480256,-1.777127,14.3255,2092,3,4
10,-778.19,-0.466541,0.898574,-0.493613,-1.910518,14.6964,1668,3,6
17,-855.95,-0.679865,0.858685,-0.726952,-2.027496,11.7101,1259,9,8
23,-875.37,-0.769218,0.843111,-0.685801,-2.031643,12.6023,1138,12,10
24,-876.71,-0.770395,0.842871,-0.686851,-2.034752,12.6023,1138,15,10
11,-915.43,-0.575380,0.875390,-0.515695,-2.257188,16.4015,1591,6,6
22,-988.31,-0.878498,0.824775,-0.721773,-2.335006,13.5096,1125,9,10
18,-1017.46,-0.804316,0.836011,-0.749808,-2.392769,13.4954,1265,12,8
19,-1033.80,-0.817233,0.833377,-0.753521,-2.429433,13.6446,1265,15,8
21,-1035.81,-0.899141,0.821644,-0.673566,-2.344406,15.0984,1152,6,10
13,-1288.31,-0.809749,0.829718,-0.637272,-3.167718,18.8814,1591,12,6
14,-1305.06,-0.820277,0.827504,-0.645558,-3.203333,18.9272,1591,15,6
9,-1377.49,-0.693950,0.819314,-0.753101,-3.613515,18.0126,1985,15,4
8,-1386.66,-0.698569,0.818111,-0.758115,-3.639856,18.0126,1985,12,4
7,-1508.52,-0.761494,0.803107,-0.798975,-3.982444,18.6714,1981,9,4
12,-1590.20,-1.001385,0.794584,-0.693064,-3.861189,21.4475,1588,9,6
6,-1767.54,-0.883770,0.777512,-0.849517,-4.580896,20.7568,2000,6,4
