Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,BasketTP_USD,BasketSL_USD,TrailActivate_USD,TrailDistance_USD
300,11673.29,1673.29,0.999576,1.155897,0.783596,5.675350,0,20.5309,1674,10,6,8,4
425,11370.83,1370.83,0.864332,1.137434,0.595193,5.155286,0,22.2192,1586,10,6,8,5
600,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,12,6
575,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,10,6
475,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,12,5
450,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,10,5
350,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,12,4
325,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,10,4
225,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,12,3
200,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,10,3
100,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,12,2
75,10563.94,563.94,0.364774,1.047594,0.209118,1.812003,0,24.8484,1546,10,6,10,2
50,10479.97,479.97,0.292486,1.043158,0.168469,1.767321,0,27.3919,1641,10,6,8,2
530,10464.28,464.28,0.300310,1.043724,0.206730,1.721103,0,20.4227,1546,10,8,6,6
275,10260.17,260.17,0.153856,1.025730,0.130026,1.134428,0,18.6161,1691,10,6,6,4
555,10086.92,86.92,0.059493,1.007543,0.030808,0.294877,0,26.8310,1461,10,8,8,6
265,10084.32,84.32,0.053741,1.009180,0.031749,0.297155,0,24.2036,1569,10,12,4,4
250,10037.04,37.04,0.022836,1.004469,0.017496,0.207510,0,20.0142,1622,10,6,4,4
550,9985.50,-14.50,-0.009177,0.998632,-0.006116,-0.056042,0,22.9705,1580,10,6,8,6
175,9672.19,-327.81,-0.211082,0.969263,-0.099671,-1.230631,0,31.6215,1553,10,6,8,3
270,9546.34,-453.66,-0.305084,0.954518,-0.168577,-1.475985,0,25.8015,1487,10,14,4,4
30,9544.24,-455.76,-0.299842,0.954498,-0.275805,-2.057117,0,15.6267,1520,10,8,6,2
130,9473.02,-526.98,-0.352495,0.936145,-0.306232,-2.921751,0,16.0075,1495,10,8,4,3
430,9422.10,-577.90,-0.398277,0.951050,-0.185935,-2.015030,0,29.4264,1451,10,8,8,5
280,9416.72,-583.28,-0.370807,0.946224,-0.187696,-2.137417,0,29.7758,1573,10,8,6,4
405,9329.05,-670.95,-0.439391,0.936181,-0.332047,-2.691717,0,19.4887,1527,10,8,6,5
267,9316.20,-683.80,-0.428984,0.926249,-0.213585,-2.203475,0,27.7203,1594,20,12,4,4
155,9294.94,-705.06,-0.488269,0.928201,-0.258095,-3.057582,0,25.6207,1444,10,8,6,3
605,9283.54,-716.46,-0.517300,0.941547,-0.275542,-2.284900,0,24.2617,1385,10,8,12,6
580,9283.54,-716.46,-0.517300,0.941547,-0.275542,-2.284900,0,24.2617,1385,10,8,10,6
480,9283.54,-716.46,-0.517300,0.941547,-0.275542,-2.284900,0,24.2617,1385,10,8,12,5
455,9283.54,-716.46,-0.517300,0.941547,-0.275542,-2.284900,0,24.2617,1385,10,8,10,5
355,9283.54,-716.46,-0.517300,0.941547,-0.275542,-2.284900,0,24.2617,1385,10,8,12,4
330,9283.54,-716.46,-0.517300,0.941547,-0.275542,-2.284900,0,24.2617,1385,10,8,10,4
