date,kind,profit,pf,eqdd,trades,sharpe,elapsed_s
2024.03.01,NFP,0.00,0.00,0.00 (0.00%),0,0.00,97.6
2024.04.05,NFP,-133.36,0.31,289.75 (2.85%),13,-3.19,10.1
2024.05.03,NFP,197.52,0.00,93.17 (0.92%),11,10.78,10.0
2024.06.07,NFP,-69.89,0.22,90.05 (0.90%),8,-2.27,9.7
2024.07.05,NFP,0.00,0.00,0.00 (0.00%),0,0.00,8.9
2024.08.02,NFP,-111.41,0.47,229.42 (2.29%),21,-5.00,11.0
2024.09.06,NFP,-146.90,0.25,266.00 (2.63%),12,-5.00,8.2
2024.10.04,NFP,24.42,1.20,205.86 (2.01%),15,2.60,9.1
2024.11.01,NFP,-302.26,0.00,343.04 (3.42%),13,-5.00,9.9
2024.12.06,NFP,-7.78,0.96,431.16 (4.27%),17,-0.23,9.5
2024.03.20,FOMC,-20.11,0.00,26.84 (0.27%),2,-0.27,8.0
2024.05.01,FOMC,-137.66,0.04,146.30 (1.46%),10,-5.00,10.1
2024.06.12,FOMC,15.00,0.00,5.04 (0.05%),1,1.11,9.0
2024.07.31,FOMC,87.69,3.18,108.08 (1.08%),9,1.50,11.5
2024.09.18,FOMC,210.78,73.68,306.24 (3.01%),13,4.00,9.5
2024.11.07,FOMC,339.45,1.41,456.80 (4.30%),84,16.07,9.5
2024.12.18,FOMC,88.11,9.75,231.12 (2.29%),10,1.62,9.1
2025.01.03,NFP,21.21,1.26,153.70 (1.54%),14,1.32,7.9
2025.02.07,NFP,-36.85,0.84,282.11 (2.81%),26,-3.22,9.4
2025.03.07,NFP,184.16,1.77,272.98 (2.72%),32,10.22,8.9
2025.04.04,NFP,130.08,1.11,883.47 (8.58%),107,3.46,9.9
2025.05.02,NFP,-507.28,0.34,682.94 (6.71%),51,-5.00,10.7
2025.06.06,NFP,-259.51,0.44,491.46 (4.88%),38,-5.00,13.9
2025.07.04,NFP,-79.17,0.59,259.20 (2.57%),20,-4.64,11.1
2025.08.01,NFP,133.74,2.67,189.62 (1.88%),23,12.47,13.2
2025.09.05,NFP,136.23,3.34,173.85 (1.73%),22,7.67,13.5
2025.10.03,NFP,84.90,1.33,332.88 (3.20%),29,4.11,15.4
2025.11.07,NFP,-764.53,0.07,841.81 (8.35%),36,-5.00,17.5
2025.12.05,NFP,-245.37,0.66,622.81 (6.09%),61,-5.00,18.7
2025.01.29,FOMC,-10.00,0.00,11.71 (0.12%),1,-1.04,8.8
2025.03.19,FOMC,-182.28,0.41,380.28 (3.75%),24,-5.00,11.4
2025.05.07,FOMC,91.92,1.30,296.79 (2.86%),47,6.02,10.4
2025.06.18,FOMC,302.77,2.07,300.72 (2.98%),45,11.87,14.9
2025.07.30,FOMC,-61.92,0.74,385.37 (3.84%),22,-3.43,13.4
2025.09.17,FOMC,-13.16,0.90,143.82 (1.43%),22,-1.05,13.1
2025.10.29,FOMC,-813.50,0.11,938.76 (9.27%),49,-5.00,19.0
2025.12.10,FOMC,57.96,1.09,535.42 (5.05%),55,2.50,18.9
